"","n_pokoj","metrarz","cena_m2","rok","dzielnica"
"521",5,160,4063,2000,"Śródmieście"
"522",2,55.5,6937,2001,"Śródmieście"
"523",3,71,5197,1980,"Stare Miasto"
"524",2,35.5,6479,1970,"Stare Miasto"
"525",1,21,7024,1930,"Śródmieście"
"526",3,81.25,3557,NA,"Psie Pole"
"527",3,63,5714,1983,"Fabryczna"
"528",4,74,4730,NA,"Fabryczna"
"529",2,50,5800,1960,"Stare Miasto"
"530",4,66.6,5706,1991,"Krzyki"
"531",3,61.45,5679,1997,"Śródmieście"
"532",3,78.63,5723,1930,"Krzyki"
"533",3,53.6,6343,1976,"Fabryczna"
"534",2,40,6950,1969,"Stare Miasto"
"535",2,39,7564,1950,"Stare Miasto"
"536",2,50,6900,2001,"Śródmieście"
"537",2,49.57,4640,1940,"Psie Pole"
"538",3,64,4984,1980,"Fabryczna"
"539",2,52,5288,1930,"Śródmieście"
"540",2,52.4,5916,1950,"Fabryczna"
"541",2,55,6345,1930,"Śródmieście"
"542",2,48,5521,1998,"Fabryczna"
"543",2,50,5300,1998,"Fabryczna"
"544",4,116,3966,1930,"Krzyki"
"545",2,52.1,6142,1989,"Śródmieście"
"546",4,61.5,5854,1980,"Krzyki"
"547",3,127,3898,1908,"Krzyki"
"548",3,84,3810,1930,"Krzyki"
"549",2,56.5,5929,2005,"Krzyki"
"550",2,52,5462,1960,"Śródmieście"
"551",3,61.71,5818,1930,"Śródmieście"
"552",2,51.84,5305,2001,"Psie Pole"
"553",4,134,4888,1994,"Krzyki"
"554",2,52,6250,1960,"Krzyki"
"555",2,54,4981,1930,"Fabryczna"
"556",3,64,5297,1989,"Fabryczna"
"557",3,64.7,5549,1994,"Śródmieście"
"558",3,65,5508,1990,"Fabryczna"
"559",2,50,5300,1987,"Fabryczna"
"560",3,64,5000,1980,"Fabryczna"
"561",2,49.09,5806,2013,"Brak"
"562",3,70,5929,1950,"Fabryczna"
"563",2,42,7738,2002,"Krzyki"
"564",2,38.2,6021,1980,"Fabryczna"
"565",3,62.1,5942,1981,"Fabryczna"
"566",2,71,4930,1920,"Śródmieście"
"567",2,45,6556,2009,"Fabryczna"
"568",3,53.65,6431,1992,"Fabryczna"
"569",3,61,5738,1967,"Stare Miasto"
"570",1,27.4,6569,1965,"Fabryczna"
"571",2,47,7426,1960,"Stare Miasto"
"572",2,46.37,4637,1930,"Krzyki"
"573",2,36.4,6593,1977,"Krzyki"
"574",2,60,4833,1930,"Śródmieście"
"575",2,55,5818,1993,"Krzyki"
"576",5,87,5172,1935,"Krzyki"
"577",3,79.21,5416,2000,"Śródmieście"
"578",4,72.63,4812,1938,"Krzyki"
"579",3,70,6429,1960,"Fabryczna"
"580",4,89,5281,2005,"Fabryczna"
"581",NA,63,4746,NA,"Śródmieście"
"582",3,64.4,5978,1992,"Fabryczna"
"583",2,48.4,6200,2017,"Krzyki"
"584",2,48.3,5797,2006,"Fabryczna"
"585",2,38,6553,1989,"Krzyki"
"586",2,52,7308,2010,"Krzyki"
"587",3,62,8871,2014,"Krzyki"
"588",3,46,5761,1970,"Fabryczna"
