"","n_pokoj","metrarz","cena_m2","rok","dzielnica"
"14040",4,104,4606,1995,NA
"14041",2,44,6591,2009,"Krzyki"
"14042",4,84,4950,2013,"Śródmieście"
"14043",4,91.19,4885,2013,"Śródmieście"
"14044",2,300,4000,NA,"Krzyki"
"14045",3,62,5629,1910,"Krzyki"
"14046",2,38,7026,2009,"Fabryczna"
"14047",2,37,4027,1930,"Krzyki"
"14048",2,49,6102,2001,"Psie Pole"
"14049",3,46,6630,1970,"Krzyki"
"14050",3,54,4667,1970,"Krzyki"
"14051",3,90,3322,1930,"Śródmieście"
"14052",4,95.34,5140,2016,"Krzyki"
"14053",3,82.12,4417,2013,"Krzyki"
"14054",4,94.59,5199,2013,"Krzyki"
"14055",2,35,5429,1973,"Fabryczna"
"14056",3,89,9382,2005,"Stare Miasto"
"14057",2,64.3,3872,1930,"Śródmieście"
"14058",2,50,6400,1992,"Stare Miasto"
"14059",3,53,4887,1970,"Krzyki"
"14060",3,52.6,5494,1994,"Fabryczna"
"14061",2,38,5474,2000,"Psie Pole"
"14062",2,45.77,6314,2016,"Krzyki"
"14063",4,126,5516,NA,"Krzyki"
"14064",2,51,5451,1950,"Śródmieście"
"14065",2,39.45,6677,2016,"Fabryczna"
"14066",3,64,4828,1980,"Stare Miasto"
"14067",2,38,6974,2010,"Fabryczna"
"14068",3,61,6230,1961,"Krzyki"
"14069",4,116,3017,NA,"Śródmieście"
"14070",3,97.29,4317,1930,"Fabryczna"
"14071",1,31,7194,NA,"Stare Miasto"
"14072",2,49,5388,1905,"Krzyki"
"14073",2,39,6128,2007,"Śródmieście"
"14074",3,75,7500,NA,"Krzyki"
"14075",2,40,6250,NA,"Stare Miasto"
"14076",4,75,4867,1993,"Fabryczna"
"14077",2,40,5475,1989,"Stare Miasto"
"14078",3,60,5833,1980,"Fabryczna"
"14079",3,59.29,6072,1911,"Śródmieście"
"14080",2,49.66,6343,2016,"Krzyki"
"14081",2,47.22,5591,2016,"Krzyki"
"14082",4,68.48,6206,2016,"Krzyki"
"14083",3,54.3,4880,1989,"Fabryczna"
"14084",3,70,5929,1930,"Fabryczna"
"14085",3,70,6429,1930,"Śródmieście"
"14086",2,49,6937,2012,"Psie Pole"
"14087",3,65,5385,1989,"Krzyki"
"14088",2,39,5641,NA,"Psie Pole"
"14089",4,71,5070,1970,"Fabryczna"
"14090",3,64,5609,1992,"Krzyki"
"14091",2,44,5886,2000,"Fabryczna"
"14092",2,48,5063,1980,"Fabryczna"
"14093",3,65,5523,1992,"Krzyki"
"14094",2,40,5250,NA,"Krzyki"
"14095",3,72,5208,1939,"Fabryczna"
"14096",3,53.1,5100,2016,"Fabryczna"
"14097",3,79.27,4692,1930,"Śródmieście"
"14098",4,140,11393,2008,"Krzyki"
"14099",3,51.1,5597,2016,"Śródmieście"
"14100",2,48.7,5565,2016,"Śródmieście"
"14101",3,54.6,5842,2016,"Śródmieście"
"14102",2,45.7,5663,2016,"Śródmieście"
"14103",3,58.9,5654,2016,"Śródmieście"
"14104",3,58.9,5654,2016,"Śródmieście"
"14105",3,50.7,5641,2016,"Śródmieście"
"14106",3,64.03,6185,2015,"Krzyki"
"14107",2,43,5116,NA,"Krzyki"
"14108",2,50,5460,1989,"Fabryczna"
"14109",3,70.44,5380,1903,"Śródmieście"
"14110",2,64.5,8062,1920,"Śródmieście"
"14111",3,106,7358,2012,"Krzyki"
"14112",3,66.76,6007,2016,"Krzyki"
"14113",3,75.6,5278,1900,"Krzyki"
"14114",3,65.4,4289,1991,"Psie Pole"
"14115",2,56,5500,2013,"Krzyki"
"14116",2,65,4538,1901,"Psie Pole"
"14117",4,67.9,6465,2016,"Krzyki"
"14118",4,76,4461,1979,"Fabryczna"
"14119",4,85.44,4155,2015,"Fabryczna"
"14120",3,58.62,6261,2016,"Krzyki"
"14121",3,58.16,5863,2016,"Krzyki"
"14122",3,48,5188,1989,"Stare Miasto"
"14123",3,65.84,5400,NA,"Krzyki"
"14124",2,52.08,6720,2007,NA
"14125",3,69,5725,2010,"Psie Pole"
"14126",4,69,5072,2004,"Psie Pole"
"14127",1,36,7722,NA,"Stare Miasto"
"14128",3,68,4338,1930,"Krzyki"
"14129",2,40.3,6650,1950,"Stare Miasto"
"14130",2,46,5848,1945,"Śródmieście"
"14131",3,68,5147,1995,"Fabryczna"
"14132",3,62,7242,2008,"Śródmieście"
"14133",NA,125,9992,NA,"Stare Miasto"
"14134",3,70,6271,1939,"Krzyki"
"14135",2,58,5690,2000,"Psie Pole"
"14136",3,100,5800,1910,"Śródmieście"
"14137",3,53,6038,1904,"Śródmieście"
"14138",5,126,5548,1998,"Krzyki"
"14139",2,48,6042,1970,"Śródmieście"
"14140",2,50,5360,2004,"Krzyki"
"14141",3,65,10000,2014,"Krzyki"
"14142",1,43.87,9095,1920,"Śródmieście"
"14143",3,53,4930,NA,"Fabryczna"
"14144",2,40,4946,NA,"Fabryczna"
"14145",4,90,7222,NA,"Śródmieście"
"14146",2,54.75,5279,1960,"Krzyki"
"14147",4,84.4,6600,2017,"Krzyki"
"14148",2,38.8,6100,2017,"Krzyki"
"14149",2,50.1,6200,2017,"Krzyki"
"14150",3,53.8,5900,2017,"Krzyki"
"14151",3,62.6,6000,2017,"Krzyki"
"14152",4,80.6,6100,2017,"Krzyki"
"14153",1,34.66,6520,2016,"Krzyki"
"14154",1,27,7370,NA,"Stare Miasto"
"14155",2,37.5,6640,2009,"Fabryczna"
"14156",2,40,5750,NA,"Krzyki"
"14157",2,46.3,6075,2016,"Krzyki"
"14158",3,50.3,6075,2016,"Krzyki"
"14159",2,45.3,6075,2016,"Krzyki"
"14160",3,65.6,7075,2015,"Krzyki"
"14161",2,52.85,6149,2009,"Krzyki"
"14162",3,74.68,5300,NA,"Fabryczna"
"14163",3,75.05,5300,NA,"Fabryczna"
"14164",3,75.09,5300,NA,"Fabryczna"
"14165",3,75.09,5300,NA,"Fabryczna"
"14166",3,75.31,4990,NA,"Fabryczna"
"14167",2,68.62,5180,NA,"Fabryczna"
"14168",2,47.43,5100,NA,"Fabryczna"
"14169",2,47.62,5560,NA,"Fabryczna"
"14170",2,46.65,5400,NA,"Fabryczna"
"14171",2,47.62,5400,NA,"Fabryczna"
"14172",2,53.71,5400,NA,"Fabryczna"
"14173",2,47.65,5400,NA,"Fabryczna"
"14174",2,47.64,5346,NA,"Fabryczna"
"14175",2,47.65,5346,NA,"Fabryczna"
"14176",2,47.64,5400,NA,"Fabryczna"
"14177",2,48.86,5180,NA,"Fabryczna"
"14178",2,47.66,5300,NA,"Fabryczna"
"14179",3,85.15,5300,NA,"Fabryczna"
"14180",2,40.9,5300,NA,"Fabryczna"
"14181",2,41.87,5300,NA,"Fabryczna"
"14182",2,47.99,5100,NA,"Fabryczna"
"14183",2,41.87,5300,NA,"Fabryczna"
"14184",2,41.86,5300,NA,"Fabryczna"
"14185",2,41.87,5300,NA,"Fabryczna"
"14186",2,41.86,5300,NA,"Fabryczna"
"14187",2,42.98,5180,NA,"Fabryczna"
"14188",2,42.07,5300,NA,"Fabryczna"
"14189",3,49,5044,NA,"Fabryczna"
"14190",2,47,5040,NA,"Fabryczna"
"14191",3,75.05,5324,NA,"Fabryczna"
"14192",3,75.05,5324,NA,"Fabryczna"
"14193",3,75.05,5324,NA,"Fabryczna"
"14194",3,68.01,5300,NA,"Fabryczna"
"14195",3,75.09,5324,NA,"Fabryczna"
"14196",3,75.09,5324,NA,"Fabryczna"
"14197",2,47.63,5508,NA,"Fabryczna"
"14198",2,47.62,5508,NA,"Fabryczna"
"14199",2,46.66,5450,NA,"Fabryczna"
"14200",2,47.65,5450,NA,"Fabryczna"
"14201",2,47.64,5486,NA,"Fabryczna"
"14202",2,47.69,5346,NA,"Fabryczna"
"14203",3,84.29,5335,NA,"Fabryczna"
"14204",2,41.86,5486,NA,"Fabryczna"
"14205",2,32.7,7431,1973,"Krzyki"
"14206",2,41.86,5454,NA,"Fabryczna"
"14207",3,50.83,5017,1950,"Fabryczna"
"14208",3,80,5375,2009,"Krzyki"
"14209",5,143,3800,2009,"Krzyki"
"14210",3,53.5,6822,2014,"Krzyki"
"14211",2,47,5085,1995,"Śródmieście"
"14212",2,51,5451,2005,"Psie Pole"
"14213",2,83,2988,1930,"Śródmieście"
"14214",5,157,12420,1910,"Śródmieście"
"14215",3,69,5783,NA,"Śródmieście"
"14216",4,93,6989,1930,"Śródmieście"
"14217",2,47.1,5499,1980,"Fabryczna"
"14218",4,92,5326,2001,"Fabryczna"
"14219",3,48,5000,1988,"Krzyki"
"14220",2,58,4983,NA,"Śródmieście"
"14221",3,77.35,4072,2006,"Fabryczna"
"14222",2,48,6100,NA,"Krzyki"
"14223",2,48,4354,NA,"Śródmieście"
"14224",4,85,4224,2000,"Psie Pole"
"14225",NA,71.5,6014,NA,NA
"14226",2,40,6225,NA,NA
"14227",3,76.7,8500,NA,"Stare Miasto"
"14228",1,33,6030,1950,"Śródmieście"
"14229",4,89,4775,1993,"Stare Miasto"
"14230",4,77,5831,1989,"Krzyki"
"14231",2,42,7095,1960,"Stare Miasto"
"14232",5,86.9,5397,2002,"Krzyki"
"14233",4,77,4026,1960,NA
"14234",4,109,4954,1995,"Krzyki"
"14235",2,67,4313,1950,"Krzyki"
"14236",2,50,6200,2002,"Fabryczna"
"14237",1,38,5868,1923,"Krzyki"
"14238",2,52,4692,1930,"Fabryczna"
"14239",2,63.34,10800,2014,"Stare Miasto"
"14240",3,76,5395,1930,"Krzyki"
"14241",3,107,3729,1920,"Śródmieście"
"14242",3,71,8000,NA,"Stare Miasto"
"14243",4,77.8,5640,2016,"Śródmieście"
"14244",4,79.2,5800,2016,"Śródmieście"
"14245",3,59.1,5700,2016,"Śródmieście"
"14246",3,60.7,5500,2016,"Śródmieście"
"14247",2,44.5,5800,2016,"Śródmieście"
"14248",3,60,4833,1960,"Fabryczna"
"14249",3,82,4254,1985,"Fabryczna"
"14250",2,46.2,5628,1988,"Krzyki"
"14251",3,98.34,3244,1930,"Śródmieście"
"14252",2,53.56,4649,1920,"Śródmieście"
"14253",2,51.4,4864,1965,"Śródmieście"
"14254",2,48,5208,1965,"Śródmieście"
"14255",2,47,5745,1970,"Krzyki"
"14256",4,77,5130,1970,"Śródmieście"
"14257",2,42,5452,NA,"Śródmieście"
"14258",3,55,4891,NA,"Śródmieście"
"14259",3,63.5,5890,1939,"Fabryczna"
"14260",2,35,6343,1950,"Śródmieście"
"14261",1,25,7880,1930,"Krzyki"
"14262",2,51,4902,1965,"Krzyki"
"14263",3,56,4911,1970,"Krzyki"
"14264",2,75,4387,1930,"Śródmieście"
"14265",3,70,4986,1907,"Śródmieście"
"14266",2,44,6364,1930,"Śródmieście"
"14267",2,62,5468,1960,"Stare Miasto"
"14268",2,46.2,5628,1970,"Krzyki"
"14269",3,95,4158,1920,"Śródmieście"
"14270",2,60,7500,2010,"Fabryczna"
"14271",2,52.58,4945,2007,"Krzyki"
"14272",2,54.4,4393,NA,"Śródmieście"
"14273",2,42,5929,1970,"Krzyki"
"14274",3,48,6042,1970,"Śródmieście"
"14275",2,52,5288,1961,"Krzyki"
"14276",2,46,5848,1930,"Stare Miasto"
"14277",3,75,5053,1990,"Śródmieście"
"14278",3,81.62,3921,1930,"Śródmieście"
"14279",3,54,4907,1970,"Psie Pole"
"14280",2,50,5800,2004,"Śródmieście"
"14281",3,68,5426,1990,"Śródmieście"
"14282",2,37,6351,1970,"Stare Miasto"
"14283",2,44,5068,1930,"Śródmieście"
"14284",2,45,3889,1930,"Śródmieście"
"14285",1,38,5237,1930,"Krzyki"
"14286",2,53,5264,1970,"Fabryczna"
"14287",4,89,3820,1930,"Śródmieście"
"14288",3,98,3776,1930,"Śródmieście"
"14289",2,42,4976,1930,"Śródmieście"
"14290",2,41,5854,1970,"Krzyki"
"14291",2,39.1,6624,1970,"Stare Miasto"
"14292",3,67,4776,1930,"Śródmieście"
"14293",2,44.23,5630,1933,"Fabryczna"
"14294",2,37.66,6585,1960,"Stare Miasto"
"14295",2,52,7981,1900,"Stare Miasto"
"14296",2,34,4471,1930,"Krzyki"
"14297",2,32,8219,1970,"Stare Miasto"
"14298",2,52,7269,2006,"Krzyki"
"14299",2,45,5222,1930,"Śródmieście"
"14300",2,39,6128,1991,"Śródmieście"
"14301",3,64,5000,1974,"Krzyki"
"14302",2,45,5333,1950,"Fabryczna"
"14303",2,42.8,6850,2017,"Krzyki"
"14304",3,52.32,6200,2017,"Krzyki"
"14305",2,43.2,6250,2003,"Fabryczna"
"14306",3,48,5729,1970,"Śródmieście"
"14307",3,65,5231,1930,"Krzyki"
"14308",2,38,5787,1970,"Fabryczna"
"14309",4,67,4910,1930,"Śródmieście"
"14310",2,37,6351,1970,"Stare Miasto"
"14311",3,68,4706,1950,"Śródmieście"
"14312",1,35,5571,1930,"Śródmieście"
"14313",2,52,4981,1970,"Krzyki"
"14314",3,100,3500,1928,"Śródmieście"
"14315",2,45,5778,1965,"Stare Miasto"
"14316",2,53.7,4451,1930,"Śródmieście"
"14317",2,82,3293,1930,"Krzyki"
"14318",1,27,6630,1965,"Stare Miasto"
"14319",5,160,6125,1935,"Krzyki"
"14320",3,84,5345,NA,"Fabryczna"
"14321",3,103,4466,1930,"Śródmieście"
"14322",3,55,5182,1970,"Krzyki"
"14323",1,40,5875,1960,"Śródmieście"
"14324",2,56,4554,2000,"Krzyki"
"14325",2,47,3830,1907,"Śródmieście"
"14326",2,50,5980,1991,"Śródmieście"
"14327",2,49,5490,1965,"Śródmieście"
"14328",3,48,5563,1930,"Fabryczna"
"14329",3,64,4203,1904,"Fabryczna"
"14330",3,58,4397,1920,"Śródmieście"
"14331",2,34,5882,1930,"Krzyki"
"14332",2,53,4811,1980,"Fabryczna"
"14333",2,36,6250,1996,"Śródmieście"
"14334",5,80,4613,1980,"Śródmieście"
"14335",2,45,5533,1910,"Śródmieście"
"14336",2,57,5000,1910,"Stare Miasto"
"14337",2,34,6735,1967,"Krzyki"
"14338",2,60,4167,1950,"Fabryczna"
"14339",4,94.4,3178,1928,"Śródmieście"
"14340",3,71,4915,1986,"Śródmieście"
"14341",3,61,4918,1970,"Psie Pole"
"14342",2,53,4321,1930,"Śródmieście"
"14343",3,62,5000,1990,"Fabryczna"
"14344",3,63.5,4724,1990,"Fabryczna"
"14345",2,48,5188,1965,"Stare Miasto"
"14346",2,45,6222,2007,"Psie Pole"
"14347",3,75,3853,1930,"Śródmieście"
"14348",2,43.22,4975,1920,"Śródmieście"
"14349",2,43,6500,2010,"Krzyki"
"14350",2,38,6026,1970,"Stare Miasto"
"14351",2,38.3,6214,1970,"Krzyki"
"14352",3,70,4986,1991,"Krzyki"
"14353",3,55.67,4581,1960,"Fabryczna"
"14354",3,67.81,3790,1930,"Śródmieście"
"14355",4,75,5587,NA,"Fabryczna"
"14356",3,71.54,4192,1930,"Śródmieście"
"14357",2,50,4980,1982,"Fabryczna"
"14358",2,35,5571,1970,"Fabryczna"
"14359",2,80,4125,1930,"Śródmieście"
"14360",2,46,6152,1993,"Śródmieście"
"14361",3,59,5424,1997,"Krzyki"
"14362",3,70,4786,1950,"Fabryczna"
"14363",2,48,10104,2009,"Krzyki"
"14364",3,80,4738,2001,"Krzyki"
"14365",3,80,4500,1950,"Krzyki"
"14366",3,76,4474,1988,"Śródmieście"
"14367",2,50,4980,2000,"Fabryczna"
"14368",4,130,3000,1930,"Śródmieście"
"14369",3,61,4754,1987,"Śródmieście"
"14370",3,62,4355,1930,"Śródmieście"
"14371",3,68,4338,1950,"Krzyki"
"14372",2,60,4500,1930,"Śródmieście"
"14373",2,50,4980,1930,"Śródmieście"
"14374",3,81,3938,1920,"Śródmieście"
"14375",1,39,4872,1930,"Krzyki"
"14376",3,76,5250,NA,"Krzyki"
"14377",2,55,4509,1960,"Fabryczna"
"14378",2,56.6,3516,1930,"Śródmieście"
"14379",1,38,5789,1965,"Stare Miasto"
"14380",2,65,5831,NA,"Śródmieście"
"14381",3,47.2,6356,1970,"Śródmieście"
"14382",3,51,5000,1988,"Stare Miasto"
"14383",1,35,5571,1950,"Stare Miasto"
"14384",2,35,5857,1965,"Stare Miasto"
"14385",2,34,5441,1970,"Fabryczna"
"14386",1,17.89,8329,1930,"Śródmieście"
"14387",3,55,4891,1930,"Śródmieście"
"14388",2,66,4242,1950,"Krzyki"
"14389",2,68,6912,2009,"Krzyki"
"14390",3,62.8,6035,2000,"Fabryczna"
"14391",3,58.9,6197,1950,"Stare Miasto"
"14392",2,39,6385,1970,"Krzyki"
"14393",1,32,4844,1930,"Śródmieście"
"14394",3,85,4471,1930,"Stare Miasto"
"14395",2,62,5323,2001,"Śródmieście"
"14396",2,30,5300,1930,"Krzyki"
"14397",2,40,5975,1970,"Stare Miasto"
"14398",2,46,5196,1910,"Śródmieście"
"14399",3,50,4800,1970,"Fabryczna"
"14400",2,45,6442,2006,"Psie Pole"
"14401",1,48,5188,1904,"Psie Pole"
"14402",3,116,3707,1900,"Śródmieście"
"14403",2,31,5323,1930,"Fabryczna"
"14404",3,50,5260,1988,"Śródmieście"
"14405",3,82,4000,1975,"Fabryczna"
"14406",2,37.6,6117,1970,"Stare Miasto"
"14407",2,49.3,5051,1986,"Fabryczna"
"14408",3,54.35,6440,1970,"Krzyki"
"14409",2,52,4692,1910,"Fabryczna"
"14410",2,51,4314,1920,"Śródmieście"
"14411",2,42,6190,2011,"Fabryczna"
"14412",3,68,5441,1961,"Śródmieście"
"14413",2,53,7528,2008,"Śródmieście"
"14414",3,47,5213,1970,"Fabryczna"
"14415",2,48,5542,1955,"Śródmieście"
"14416",2,36,6083,1970,"Stare Miasto"
"14417",3,58,4741,1977,"Krzyki"
"14418",2,41,5851,2012,"Psie Pole"
"14419",2,69,3696,1930,"Śródmieście"
"14420",3,59.25,5722,NA,"Stare Miasto"
"14421",2,57,3491,1930,"Śródmieście"
"14422",3,53,5642,1950,"Śródmieście"
"14423",2,45,4822,1930,"Śródmieście"
"14424",2,47,5638,1930,"Śródmieście"
"14425",1,31,4484,1930,"Śródmieście"
"14426",3,55.2,4873,1970,"Krzyki"
"14427",3,64,4844,1930,"Stare Miasto"
"14428",3,44.7,6152,1977,"Fabryczna"
"14429",3,57,5965,2003,"Śródmieście"
"14430",3,57,4649,1930,"Krzyki"
"14431",1,36,4333,1930,"Krzyki"
"14432",3,80,4250,1930,"Śródmieście"
"14433",3,48,6042,1977,"Krzyki"
"14434",3,76,4461,1930,"Śródmieście"
"14435",2,45,5222,1920,"Krzyki"
"14436",2,44,5341,1988,"Śródmieście"
"14437",3,76,4921,2003,"Śródmieście"
"14438",2,49,6020,2004,"Krzyki"
"14439",2,51.26,5365,1905,"Śródmieście"
"14440",4,64,5780,1950,"Stare Miasto"
"14441",3,63,5714,1960,"Śródmieście"
"14442",3,58,4638,1950,"Stare Miasto"
"14443",3,60,6083,1994,"Śródmieście"
"14444",3,90,4433,2000,"Krzyki"
"14445",3,84,4512,2000,"Krzyki"
"14446",1,36,4389,1930,"Śródmieście"
"14447",3,78,4488,1994,"Śródmieście"
"14448",2,51,5667,1970,"Krzyki"
"14449",4,82,3780,1930,"Śródmieście"
"14450",3,54.45,5234,2001,"Krzyki"
"14451",1,41,4341,1930,"Fabryczna"
"14452",3,64,5000,1970,"Śródmieście"
"14453",4,77.77,5290,2016,"Fabryczna"
"14454",3,54.78,5240,2016,"Fabryczna"
"14455",2,45.31,5240,2016,"Fabryczna"
"14456",1,26.55,5990,2016,"Fabryczna"
"14457",3,54,5741,1977,"Krzyki"
"14458",2,44.3,5756,1950,"Fabryczna"
"14459",3,87,4356,1930,"Krzyki"
"14460",3,47,5085,1930,"Fabryczna"
"14461",3,80.11,5562,NA,NA
"14462",1,43.73,6077,NA,NA
"14463",3,88.46,5562,NA,NA
"14464",3,55.06,5716,NA,NA
"14465",3,53.28,5665,NA,NA
"14466",3,80.27,5562,NA,NA
"14467",1,43.73,6077,NA,NA
"14468",3,88.46,5562,NA,NA
"14469",3,53.44,5768,NA,NA
"14470",3,55.06,5665,NA,NA
"14471",3,53.44,5613,NA,NA
"14472",2,91.63,5562,NA,NA
"14473",2,93.07,6636,NA,NA
"14474",2,87.38,5665,NA,NA
"14475",2,48.02,6128,NA,NA
"14476",2,49.88,6128,NA,NA
"14477",2,48.02,6077,NA,NA
"14478",2,48.02,6077,NA,NA
"14479",2,48.02,6077,NA,NA
"14480",2,49.88,6128,NA,NA
"14481",2,47.94,6128,NA,NA
"14482",2,49.88,6128,NA,NA
"14483",2,49.88,6128,NA,NA
"14484",2,48.02,6077,NA,NA
"14485",2,48.02,6077,NA,NA
"14486",2,48.02,6077,NA,NA
"14487",2,49.88,6128,NA,NA
"14488",2,47.88,6243,NA,NA
"14489",2,48.02,6077,NA,NA
"14490",2,50,6077,NA,NA
"14491",2,48.02,6128,NA,NA
"14492",2,48.02,6128,NA,NA
"14493",2,51.3,6077,NA,NA
"14494",2,48.18,6025,NA,NA
"14495",2,50.12,6025,NA,NA
"14496",2,48.18,5974,NA,NA
"14497",2,48.18,5974,NA,NA
"14498",2,48.18,5974,NA,NA
"14499",2,50.12,6025,NA,NA
"14500",2,48.09,6025,NA,NA
"14501",2,48.02,6025,NA,NA
"14502",2,50.12,6025,NA,NA
"14503",2,48.18,5974,NA,NA
"14504",2,48.18,5974,NA,NA
"14505",2,48.18,5974,NA,NA
"14506",2,50.12,6025,NA,NA
"14507",2,48.09,6025,NA,NA
"14508",2,48.18,5974,NA,NA
"14509",2,50.23,6025,NA,NA
"14510",2,49,5610,1970,"Śródmieście"
"14511",2,48.11,5974,NA,NA
"14512",2,48.18,5974,NA,NA
"14513",3,73.19,5613,NA,NA
"14514",2,48.28,5400,NA,NA
"14515",2,50.27,5871,NA,NA
"14516",2,48.28,5922,NA,NA
"14517",2,48.28,5922,NA,NA
"14518",2,50.27,5922,NA,NA
"14519",2,48.19,5400,NA,NA
"14520",2,48.28,5400,NA,NA
"14521",2,50.27,5871,NA,NA
"14522",2,48.28,5922,NA,NA
"14523",2,48.28,5922,NA,NA
"14524",2,50.27,5922,NA,NA
"14525",2,48.19,5400,NA,NA
"14526",2,48.28,5922,NA,NA
"14527",2,53.34,5922,NA,NA
"14528",2,48.2,5400,NA,NA
"14529",3,70,7071,2008,"Krzyki"
"14530",2,55,7000,2010,"Krzyki"
"14531",3,165,6667,2013,"Śródmieście"
"14532",3,118.94,3867,1930,"Śródmieście"
"14533",2,54,11093,2009,"Śródmieście"
"14534",2,43.22,5067,NA,"Śródmieście"
"14535",3,148.1,6745,2003,"Śródmieście"
"14536",4,117.9,11450,2000,"Stare Miasto"
"14537",4,75,6400,2009,"Fabryczna"
"14538",4,78.7,4180,1979,"Fabryczna"
"14539",2,50,5700,NA,NA
"14540",3,70.77,5228,1980,"Krzyki"
"14541",2,74,7230,1910,"Stare Miasto"
"14542",3,58.2,5550,2017,"Krzyki"
"14543",2,36.1,5550,2017,"Krzyki"
"14544",2,49,6020,NA,"Śródmieście"
"14545",3,100,4500,2009,"Krzyki"
"14546",2,52,5750,1935,NA
"14547",2,46,6087,2004,"Krzyki"
"14548",4,78,5870,NA,"Krzyki"
"14549",2,30,7000,NA,"Stare Miasto"
"14550",2,65,6308,NA,"Śródmieście"
"14551",4,78.93,5890,NA,"Krzyki"
"14552",3,95,6105,2004,"Krzyki"
"14553",4,57,7368,1970,NA
"14554",4,139.7,8900,NA,"Śródmieście"
"14555",4,139.8,6300,NA,"Śródmieście"
"14556",4,125.3,7900,NA,"Śródmieście"
"14557",4,220.9,10000,NA,"Śródmieście"
"14558",4,116.9,9900,NA,"Śródmieście"
"14559",4,139.6,6900,NA,"Śródmieście"
"14560",4,139.8,7900,NA,"Śródmieście"
"14561",4,125.3,8400,NA,"Śródmieście"
"14562",3,50,5980,1935,NA
"14563",4,74.92,5072,NA,"Krzyki"
"14564",3,135.8,17000,2014,"Stare Miasto"
"14565",3,116.3,16500,2014,"Stare Miasto"
"14566",3,148.7,16000,2014,"Stare Miasto"
"14567",3,124.4,15500,2014,"Stare Miasto"
"14568",3,124.6,15500,2014,"Stare Miasto"
"14569",3,110,15000,2014,"Stare Miasto"
"14570",4,142,25000,2014,"Stare Miasto"
"14571",3,91,17000,2014,"Stare Miasto"
"14572",4,133.3,18000,2014,"Stare Miasto"
"14573",2,58.3,20583,2014,"Stare Miasto"
"14574",2,45.8,5400,2017,"Krzyki"
"14575",3,121,4785,2001,"Krzyki"
"14576",3,58.5,6479,1910,"Krzyki"
"14577",3,95,5884,NA,"Krzyki"
"14578",2,88,5000,2008,NA
"14579",4,86,6512,1995,"Krzyki"
"14580",5,110,5436,2002,"Śródmieście"
"14581",3,65.31,5130,NA,"Krzyki"
"14582",4,139.26,11453,2009,"Krzyki"
"14583",4,112,4107,1918,"Krzyki"
"14584",2,48.53,6491,NA,"Krzyki"
"14585",2,47.25,6772,NA,"Krzyki"
"14586",1,35.04,6821,NA,"Krzyki"
"14587",2,49.66,6504,NA,"Krzyki"
"14588",3,58.62,6005,NA,"Krzyki"
"14589",3,56.13,5035,NA,"Krzyki"
"14590",3,58.62,6039,NA,"Krzyki"
"14591",2,43,5000,NA,"Psie Pole"
"14592",2,45.1,5211,NA,"Krzyki"
"14593",2,56,4982,1970,"Fabryczna"
"14594",2,38.18,5950,NA,"Psie Pole"
"14595",2,47.25,5926,NA,"Krzyki"
"14596",3,60.93,6598,NA,"Krzyki"
"14597",4,66.87,5750,NA,"Psie Pole"
"14598",2,47.25,5884,NA,"Krzyki"
"14599",2,46.94,5100,NA,"Psie Pole"
"14600",1,29.59,6500,NA,"Psie Pole"
"14601",3,47.91,6250,NA,"Psie Pole"
"14602",2,35.39,6000,NA,"Psie Pole"
"14603",2,36.67,5800,NA,"Psie Pole"
"14604",2,35.39,5900,NA,"Psie Pole"
"14605",4,59.11,5550,NA,"Psie Pole"
"14606",2,65,7077,2008,"Stare Miasto"
"14607",3,47.25,5800,NA,"Psie Pole"
"14608",3,147,6796,2005,"Psie Pole"
"14609",3,48,6229,1935,"Śródmieście"
"14610",2,49,5306,NA,"Fabryczna"
"14611",4,100,6400,2008,"Krzyki"
"14612",4,83.02,6578,2015,"Krzyki"
"14613",2,46,6087,1995,NA
"14614",2,51,5882,2000,"Krzyki"
"14615",4,143,6224,1930,"Śródmieście"
"14616",3,145,4379,1920,"Krzyki"
"14617",4,135,4667,1996,"Krzyki"
"14618",3,63.9,6182,2016,"Stare Miasto"
"14619",3,51.06,6130,2016,"Stare Miasto"
"14620",2,39.49,6812,2016,"Stare Miasto"
"14621",2,44.08,6783,2016,"Stare Miasto"
"14622",6,321.95,14000,2007,NA
"14623",3,68,9559,1935,"Śródmieście"
"14624",2,50,6700,1960,"Stare Miasto"
"14625",3,76,5592,1931,"Fabryczna"
"14626",2,47,6170,1970,"Śródmieście"
"14627",2,50.3,9125,2001,"Stare Miasto"
"14628",3,103,3786,2001,"Krzyki"
"14629",3,118,6941,NA,"Stare Miasto"
"14630",3,65.22,6424,1991,"Stare Miasto"
"14631",4,90,6222,2006,"Stare Miasto"
"14632",2,45,6333,2006,"Psie Pole"
"14633",3,45,6444,1980,"Stare Miasto"
"14634",4,56,5875,NA,"Fabryczna"
"14635",2,45,6644,2010,NA
"14636",2,57,4561,1930,NA
"14637",4,98,5663,2001,"Krzyki"
"14638",4,150,3727,1890,"Krzyki"
"14639",3,48,5729,1985,"Fabryczna"
"14640",NA,80.68,10900,NA,"Śródmieście"
"14641",NA,149.21,11500,NA,"Śródmieście"
"14642",NA,82.99,10900,NA,"Śródmieście"
"14643",NA,65.12,11500,NA,"Śródmieście"
"14644",NA,155.97,11499,NA,"Śródmieście"
"14645",2,44,6250,2009,"Krzyki"
"14646",3,70,6714,1935,"Krzyki"
"14647",2,51.48,5650,2015,"Krzyki"
